snaqV,ntaxa,nhybrids,runtime,threads
v1.1,7,0,0.024882726,3
v1.1,8,0,0.089382166,3
v1.1,9,0,0.160002342,3
v1.1,10,0,0.251522303,3
v1.1,11,0,1.157018362,3
v1.1,12,0,1.724933414,3
v1.1,13,0,1.743146178,3
v1.1,14,0,2.474775636,3
v1.1,15,0,6.388985852,3
v1.1,16,0,7.442427732,3
v1.1,17,0,26.798600422,3
v1.1,18,0,25.769447818,3
v1.1,19,0,33.738172018,3
v1.1,20,0,39.085464922,3
v1.1,21,0,42.969203749,3
v1.1,22,0,64.537929942,3
v1.1,23,0,172.868239478,3
v1.1,24,0,312.775491149,3
v1.1,25,0,170.543295294,3
v1.1,4,0,0.000806558,3
v1.1,5,0,0.002102338,3
v1.1,6,0,0.011011099,3
v1.1,7,0,0.028461762,3
v1.1,8,0,0.092882786,3
v1.1,9,0,0.242554318,3
v1.1,10,0,0.560911325,3
v1.1,11,0,0.449700094,3
v1.1,12,0,1.589338027,3
v1.1,13,0,2.872281365,3
v1.1,14,0,3.299782841,3
v1.1,15,0,1.823864701,3
v1.1,16,0,12.648280099,3
v1.1,17,0,27.134487284,3
v1.1,18,0,10.762502658,3
v1.1,19,0,45.502793446,3
v1.1,20,0,26.638139199,3
v1.1,21,0,23.562846847,3
v1.1,22,0,118.135506854,3
v1.1,23,0,50.441090127,3
v1.1,24,0,300.911531933,3
v1.1,25,0,143.055659724,3
v1.1,4,0,0.000753602,3
v1.1,5,0,0.002192533,3
v1.1,6,0,0.002423911,3
v1.1,7,0,0.054784799,3
v1.1,8,0,0.113724833,3
v1.1,9,0,0.163156905,3
v1.1,10,0,0.427639549,3
v1.1,11,0,0.840186274,3
v1.1,12,0,0.847006547,3
v1.1,13,0,3.209119983,3
v1.1,14,0,1.686101573,3
v1.1,15,0,13.681530788,3
v1.1,16,0,12.858237967,3
v1.1,17,0,15.095264927,3
v1.1,18,0,6.398149601,3
v1.1,19,0,19.135662503,3
v1.1,20,0,2.984185562,3
v1.1,21,0,131.325094353,3
v1.1,22,0,17.337439674,3
v1.1,23,0,120.876185839,3
v1.1,24,0,77.502104491,3
v1.1,25,0,204.148015933,3
v1.1,4,0,0.000813969,3
v1.1,5,0,0.002256887,3
v1.1,6,0,0.006793472,3
v1.1,7,0,0.028914036,3
v1.1,8,0,0.10277002,3
v1.1,9,0,0.196094942,3
v1.1,10,0,0.150565393,3
v1.1,11,0,0.920521966,3
v1.1,12,0,1.106399339,3
v1.1,13,0,0.520524622,3
v1.1,14,0,1.991307704,3
v1.1,15,0,9.852432215,3
v1.1,16,0,6.695079524,3
v1.1,17,0,14.377653842,3
v1.1,18,0,31.501664283,3
v1.1,19,0,29.747499127,3
v1.1,20,0,21.134100395,3
v1.1,21,0,3.649406819,3
v1.1,22,0,52.646043586,3
v1.1,23,0,119.490382976,3
v1.1,24,0,277.355375912,3
v1.1,25,0,99.89347196,3
v1.1,4,0,0.000952976,3
v1.1,5,0,0.001818601,3
v1.1,6,0,0.011613833,3
v1.1,7,0,0.031999168,3
v1.1,8,0,0.06024848,3
v1.1,9,0,0.206011154,3
v1.1,10,0,0.41215403,3
v1.1,11,0,1.443315897,3
v1.1,12,0,1.28016477,3
v1.1,13,0,3.777185917,3
v1.1,14,0,4.683746406,3
v1.1,15,0,14.242741096,3
v1.1,16,0,5.078975307,3
v1.1,17,0,9.93285879,3
v1.1,18,0,18.173996696,3
v1.1,19,0,7.985971758,3
v1.1,20,0,57.018512142,3
v1.1,21,0,98.394400768,3
v1.1,22,0,31.743187917,3
v1.1,23,0,43.694837083,3
v1.1,24,0,97.124463314,3
v1.1,25,0,102.406299563,3
v1.1,4,0,0.000912183,3
v1.1,5,0,0.001828482,3
v1.1,6,0,0.052254608,3
v1.1,7,0,0.046208473,3
v1.1,8,0,0.086922183,3
v1.1,9,0,0.174726009,3
v1.1,10,0,0.461670537,3
v1.1,11,0,0.652120481,3
v1.1,12,0,1.359265822,3
v1.1,13,0,1.892552838,3
v1.1,14,0,8.972812884,3
v1.1,15,0,4.85196229,3
v1.1,16,0,1.881969079,3
v1.1,17,0,6.280068859,3
v1.1,18,0,8.361497749,3
v1.1,19,0,13.023048277,3
v1.1,20,0,61.194301344,3
v1.1,21,0,12.029291926,3
v1.1,22,0,68.479544698,3
v1.1,23,0,89.910336929,3
v1.1,24,0,130.050457465,3
v1.1,25,0,76.633668441,3
v1.1,4,0,0.000831963,3
v1.1,5,0,0.003355045,3
v1.1,6,0,0.011163267,3
v1.1,7,0,0.015891494,3
v1.1,8,0,0.117701209,3
v1.1,9,0,0.325575287,3
v1.1,10,0,0.166942831,3
v1.1,11,0,0.505046808,3
v1.1,12,0,0.764527422,3
v1.1,13,0,3.714026949,3
v1.1,14,0,2.37520999,3
v1.1,15,0,5.380159456,3
v1.1,16,0,15.460175186,3
v1.1,17,0,11.842485871,3
v1.1,18,0,15.481135881,3
v1.1,19,0,26.804188487,3
v1.1,20,0,112.863536251,3
v1.1,21,0,53.989958298,3
v1.1,22,0,74.622426121,3
v1.1,23,0,117.032660469,3
v1.1,24,0,162.911521231,3
v1.1,25,0,358.661823972,3
v1.1,4,0,0.000889257,3
v1.1,5,0,0.001618306,3
v1.1,6,0,0.008097883,3
v1.1,7,0,0.031873628,3
v1.1,8,0,0.132125099,3
v1.1,9,0,0.095550267,3
v1.1,10,0,0.378923631,3
v1.1,11,0,1.289462129,3
v1.1,12,0,1.915508789,3
v1.1,13,0,3.40346793,3
v1.1,14,0,7.866827908,3
v1.1,15,0,3.581743564,3
v1.1,16,0,4.012916474,3
v1.1,17,0,25.118647292,3
v1.1,18,0,47.890219349,3
v1.1,19,0,19.638752814,3
v1.1,20,0,31.854946942,3
v1.1,21,0,70.163322271,3
v1.1,22,0,74.668355136,3
v1.1,23,0,49.162261164,3
v1.1,24,0,173.552355127,3
v1.1,25,0,173.727498163,3
v1.1,4,0,0.001414667,3
v1.1,5,0,0.001942577,3
v1.1,6,0,0.007267355,3
v1.1,7,0,0.011308929,3
v1.1,8,0,0.105616938,3
v1.1,9,0,0.363267662,3
v1.1,10,0,0.540801921,3
v1.1,11,0,0.902857428,3
v1.1,12,0,1.076278511,3
v1.1,13,0,1.530094651,3
v1.1,14,0,4.40977634,3
v1.1,15,0,8.247028156,3
v1.1,16,0,0.63430463,3
v1.1,17,0,13.869362021,3
v1.1,18,0,5.622625269,3
v1.1,19,0,48.205557485,3
v1.1,20,0,56.343024752,3
v1.1,21,0,86.096043783,3
v1.1,22,0,56.112442372,3
v1.1,23,0,133.00669542,3
v1.1,24,0,44.195835402,3
v1.1,25,0,128.334414757,3
v1.1,4,0,0.001362569,3
v1.1,5,0,0.002471159,3
v1.1,6,0,0.005554457,3
v1.1,7,0,0.019005289,3
v1.1,8,0,0.03056005,3
v1.1,9,0,0.177828796,3
v1.1,10,0,0.355347734,3
v1.1,11,0,0.639052023,3
v1.1,12,0,1.097751164,3
v1.1,13,0,2.271590902,3
v1.1,14,0,2.31009936,3
v1.1,15,0,10.779479008,3
v1.1,16,0,7.367946462,3
v1.1,17,0,7.935553521,3
v1.1,18,0,24.599787355,3
v1.1,19,0,32.576262665,3
v1.1,20,0,12.792293546,3
v1.1,21,0,124.632401171,3
v1.1,22,0,79.177705438,3
v1.1,23,0,22.69017287,3
v1.1,24,0,86.699688039,3
v1.1,25,0,72.009668399,3
v1.1,4,0,0.000847523,3
v1.1,5,0,0.00182747,3
v1.1,6,0,0.008171733,3
v1.1,7,0,0.065924341,3
v1.1,8,0,0.072782751,3
v1.1,9,0,0.082643715,3
v1.1,10,0,0.389814309,3
v1.1,11,0,0.570090093,3
v1.1,12,0,2.492980578,3
v1.1,13,0,1.602566807,3
v1.1,14,0,2.310198377,3
v1.1,15,0,2.310760311,3
v1.1,16,0,9.146506737,3
v1.1,17,0,20.41799267,3
v1.1,18,0,29.550365077,3
v1.1,19,0,27.480280568,3
v1.1,20,0,17.4317127,3
v1.1,21,0,40.299606801,3
v1.1,22,0,36.07027236,3
v1.1,23,0,5.390512392,3
v1.1,24,0,64.650276396,3
v1.1,25,0,356.073604614,3
v1.1,4,0,0.000814833,3
v1.1,5,0,0.001539805,3
v1.1,6,0,0.006423028,3
v1.1,7,0,0.023340369,3
v1.1,8,0,0.122043376,3
v1.1,9,0,0.215329696,3
v1.1,10,0,0.638025557,3
v1.1,11,0,0.517275291,3
v1.1,12,0,1.228586483,3
v1.1,13,0,2.299320068,3
