estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(7,8,((9,10):0.5874645977999843,((6,5):2.2208280371424656,(1,((2,#H11:::0.4410223453685542):0.7258589273197971,(4,(3)#H11:::0.5589776546314458):0.7258589273197971):0.7670787375406446):0.6842890113810877):0.5849665149001433):2.997982134670477);",300,4,0.0,1.0,1,1670.4350849,0,0,0.2428569633333334,10,1,1,med,11
"(9,((7,8):2.7687699412881868,((6,5):2.0209018028596493,(1,((2,(3,#H11:::0.455287532323304):0.7376167043197877):0.5834137685303216,(4)#H11:::0.544712467676696):0.4507245470721372):0.6535988631796981):0.4993082330398791):0.6178689101462528,10);",300,8,0.0,1.0,1,855.464109032,4,2,0.2485712433333334,10,1,1,med,17
"((((2,3):0.17082398737188012,4):0.45734663149303445,(1)#H11:::0.7454406913982836):0.9732019221645857,(6,5):1.8409270282538892,(((9,10):0.5688233332723799,(8,7):2.9624868033854375):0.4562475966481641,#H11:::0.25455930860171644):0.16814989433237446);",300,4,0.0,1.0,1,2734.28613302,4,2,0.2547617333333335,10,1,1,med,5
"(10,9,((8,7):3.3318878298532653,((((3,4):0.16062523775847606,2):0.5420144832561073,(1)#H11:::0.7552731932598219):0.8502052927852387,((5,6):1.871392175946256,#H11:::0.24472680674017808):0.14225274429255788):0.5649772765595384):0.6699178202523665);",300,16,0.0,1.0,1,1247.215423687,4,0,0.2542855433333334,10,1,1,med,16
"(((8,7):2.7406214820344985,(10,9):0.5471029539733377):0.5658647883570681,((6,#H11:0.48729171696222534::0.03649277176167455):1.3622112951533218,5):2.443200163421542,((1,((4,3):0.15175248437708755,2):0.6937272779502158):0.6891297062439745)#H11:0.0::0.9635072282383255);",300,16,0.0,1.0,1,514.334667992,4,0,0.24999983666666675,10,1,1,med,20
"(10,((7,8):2.3663129081173446,((5,6):1.8968154069565666,(1,((4,#H11:::0.37963084989663887):0.5480489059189925,(2,(3)#H11:::0.6203691501033611):0.5480489059189925):0.5900717516605065):0.52893237112292):0.7118068243986374):0.5543800537255732,9);",300,16,0.0,1.0,1,537.778754162,0,2,0.2628569700000001,10,1,1,med,19
"(((8,7):2.7406214820344985,(10,9):0.5471029539733377):0.5658647883570681,((6,#H11:0.48729171696222534::0.03649277176167455):1.3622112951533218,5):2.443200163421542,((1,((4,3):0.15175248437708755,2):0.6937272779502158):0.6891297062439745)#H11:0.0::0.9635072282383255);",300,8,0.0,1.0,1,530.764561072,4,0,0.24999983666666675,10,1,1,med,20
"(9,10,((7,8):2.5531130255387677,((5,6):1.9442588175153313,(((3,(2)#H11:::0.7114007464470979):0.606376437162069,4):1.0133121081184395,(1,#H11:::0.2885992535529021):1.9433229256221986e-5):0.5375068431971045):0.5631002188677512):0.6065451773186739);",300,8,0.0,1.0,1,628.754534269,4,2,0.2552379233333334,10,1,1,med,21
"(((8,7):2.849109197954843,(9,10):0.6323987481982375):0.5646653421588889,(((2,#H15:::0.43440541708523017):0.4644529224650348,(4,(3)#H15:::0.5655945829147697):0.4644529224650348):0.7735783190235879,1):0.6347254478562306,(6,5):2.3893333694639796);",300,16,0.0,1.0,1,836.493965751,0,0,0.23571411000000012,10,1,1,med,18
"(9,10,((7,8):2.5531130255387677,((5,6):1.9442588175153313,(((3,(2)#H11:::0.7114007464470979):0.606376437162069,4):1.0133121081184395,(1,#H11:::0.2885992535529021):1.9433229256221986e-5):0.5375068431971045):0.5631002188677512):0.6065451773186739);",300,16,0.0,1.0,1,601.672530773,4,2,0.2552379233333334,10,1,1,med,21
