estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"((2,3):0.15716163527657806,(1,#H29:::0.05780500876473489):0.0,((4)#H29:::0.9421949912352651,((((((6,7):0.9922684841706776,5):0.6963236578931007,8):0.6266111773716738,(((11,10):0.19585866503156193,12):0.9472360692551255,9):0.6844094660941):0.7710924071530323,(#H21:::0.4031425818437908,((18,17):2.3684397051162405,(19,(((16,15):0.6382375753164486,(13)#H27:::0.5439215475001661):2.889518066401355e-13,(14,#H27:::0.4560784524998339):9.99999985882576):1.3087201050443609):0.21590557970116098):0.5313797396011175):1.4564723805819908):0.0,(20)#H21:::0.5968574181562092):1.2764877895706455):0.7397058100999827);",300,8,0.0,1.0,1,72256.092129003,10,8,0.2637255866666668,20,3,3,med,19
"(19,((17,18):2.0378351471187757,(20,(((((7,(#H25:2.1753676673586843e-5::0.015746371906745438,6):1.754311578786637e-6):0.8717351701045056,5):0.642499856874719,8):0.7090693498522025,(((11,((12,10):5.401988921096816e-7)#H23:1.240217186006573e-7::0.7212212913179187):2.25249802541652,(#H23:3.6199672106367526e-5::0.2787787086820813,9):3.306395240053997e-7):0.0033134520070069876)#H25:0.6363032947970889::0.9842536280932546):0.6024940480402979,((4,(1,(2,3):0.07822791321559097):0.8511151184085878):0.7807802180470557,#H21:9.728931250173032::0.05249268085462257):0.657183962931922):0.6205108221649885):1.8158387005417715):0.21210830355623295,(((13,14):0.8254421879618473,(15,16):0.8109564071320873):1.4571552555480054)#H21:0.0::0.9475073191453774);",300,4,0.0,1.0,1,120350.334497675,14,4,0.26000014666666665,20,3,3,med,39
"(20,((((13,14):0.6502207491400307,(16,15):0.6604166112070278):0.9180607982923555,(19)#H23:::0.6494616337749999):0.49448785530103173,((18,17):1.17537659401375,#H23:::0.3505383662250001):1.4185178590029366):1.411901505030113,((((2,1):0.1663027038928921,(3,#H25:0.38862149636832444::0.004796197890393855):1.638884123970516e-8):0.7816044554365775,4):1.308938590116128,(((((6,7):0.7178119372364532,5):0.80652204980741,(8,#H21:::2.8853899620884113e-6):0.16781332324620246):0.6969771103654163,((12,(10,11):0.20558864525489662):0.6782718255567953,(9)#H21:::0.9999971146100379):0.7039330467705122):0.053850473410320676)#H25:0.5792329184723126::0.9952038021096061):0.6817181492576277);",300,16,0.0,1.0,1,125585.052608532,8,6,0.2713726633333335,20,3,3,med,6
"((13,(((((18,17):2.495975317700233,19):0.03624642589931431,#H21:::0.0):0.09842013574299545,((20)#H21:::1.0,(#H27:0.4340421260965727::0.44464772101231687,((((1,2):0.2125715336085543,3):0.8263090272798359,4):1.3618412081660813,(((6,7):0.7765277027731634,5):0.8013343747344085,(8,((9,((11,10):0.22152688312621333,12):0.9410543925731614):0.9279062238481982)#H27:0.0::0.5553522789876831):0.019552329094378262):1.6905350450661374):0.12649832568550162):0.5374525685469342):1.3029863724774462):0.9879731124447685)#H29:6.730722685525501::0.5084711695924796):0.00037447749292437624,14,(16,(15,#H29:9.015103341473687::0.4915288304075204):0.0205698892047922):2.5932928113159606);",300,4,0.0,1.0,1,127677.935612508,16,8,0.27000010666666674,20,3,3,med,37
"(17,(18,#H25:0.0::0.1897317376174188):6.061774709307264e-8,(((14,13):0.8184659056140492,(16,15):0.6332249265954001):1.2583793427603696,((19,(((((2,3):0.13256327316506897,1):0.7762117889262877,4):1.3848742884323166,((#H21:::0.3688206266834192,(#H23:::0.4310620447225901,((12,11):0.10506129129580379,(10,(9)#H23:::0.5689379552774099):1.4705515243240707e-7):1.673460778277333):4.564308314567217e-6):3.376962164343352e-12,((7,6):0.8605628175189823,(5,(8)#H21:::0.6311793733165808):1.1160995611560393e-7):1.7106524602257496):0.6387486299259035):0.7076709530571299,20):1.4046219597231453):0.0)#H25:9.351032333748297e-9::0.8102682623825812):5.895390928529958);",300,8,0.0,1.0,1,79315.861452699,18,6,0.26450992333333334,20,3,3,med,22
"(20,((((13,14):0.6502207491400307,(16,15):0.6604166112070278):0.9180607982923555,(19)#H23:::0.6494616337749999):0.49448785530103173,((18,17):1.17537659401375,#H23:::0.3505383662250001):1.4185178590029366):1.411901505030113,((((2,1):0.1663027038928921,(3,#H25:0.38862149636832444::0.004796197890393855):1.638884123970516e-8):0.7816044554365775,4):1.308938590116128,(((((6,7):0.7178119372364532,5):0.80652204980741,(8,#H21:::2.8853899620884113e-6):0.16781332324620246):0.6969771103654163,((12,(10,11):0.20558864525489662):0.6782718255567953,(9)#H21:::0.9999971146100379):0.7039330467705122):0.053850473410320676)#H25:0.5792329184723126::0.9952038021096061):0.6817181492576277);",300,8,0.0,1.0,1,135453.073751696,8,6,0.2713726633333335,20,3,3,med,6
"((2,3):0.15716163527657806,(1,#H29:::0.05780500876473489):0.0,((4)#H29:::0.9421949912352651,((((((6,7):0.9922684841706776,5):0.6963236578931007,8):0.6266111773716738,(((11,10):0.19585866503156193,12):0.9472360692551255,9):0.6844094660941):0.7710924071530323,(#H21:::0.4031425818437908,((18,17):2.3684397051162405,(19,(((16,15):0.6382375753164486,(13)#H27:::0.5439215475001661):2.889518066401355e-13,(14,#H27:::0.4560784524998339):9.99999985882576):1.3087201050443609):0.21590557970116098):0.5313797396011175):1.4564723805819908):0.0,(20)#H21:::0.5968574181562092):1.2764877895706455):0.7397058100999827);",300,4,0.0,1.0,1,148123.621462081,10,8,0.2637255866666668,20,3,3,med,19
"((2,3):0.0014248009252927866,1,(4,((20,(((18,17):1.73646807394758,(19)#H25:::0.6132236893898557):0.44813754969743624,(#H25:::0.3867763106101443,((14,(13,#H35:0.15615082363951127::0.12359741850625906):8.182043013858321e-7):0.8188976943747363,((15,16):0.3112702555695473)#H35:0.8159673849430022::0.876402581493741):0.1999118524606063):1.355179410289207):1.3561684773412372):0.5634931545206392,(((10,(11,12):0.007378369758607592):0.8463847260836892,(9,#H21:7.179080745651006::0.21466658532269206):0.0039182585152981):1.0198542755818039,(((5,(6,7):0.707561300775742):0.7697436879368407,8):0.0)#H21:1.8731395551117316::0.7853334146773079):0.3860890292613957):1.4016624553730856):0.974701331383275);",300,8,0.0,1.0,1,94244.628260176,10,0,0.27607855000000003,20,3,3,med,15
"((3,(4,((((((17,18):1.5198065516897659,(19)#H23:::0.7537355973445671):0.43966201529483634,(((16,15):0.7099523258965499,(13,14):0.7565001565740459):2.054806521552486e-10,#H23:::0.24626440265543295):1.2517173970201985):1.3327287109191974,20):0.6139733847633727,(((((10,#H21:1.989654016070521e-6::0.014933404195606483):2.739067912877458e-9,11):0.29605841375334163,12):0.6565616173994102,9):0.7477105479607167,(((5,(6,7):0.6010315800901778):0.706020611681787,8):2.4595985096157033e-9)#H21:0.7568360005091852::0.9850665958043935):0.5316658554671841):1.6407260183337058)#H25:0.0::0.6370781108760649):4.8138860362437015):0.07532120264067017,(1,#H25:1.2846643629284482::0.3629218891239351):0.11634885469599549,2);",300,4,0.0,1.0,1,148595.049115079,14,4,0.2733334733333333,20,3,3,med,35
"((4,((2,1):0.20730200510181593,(3,#H21:6.558387327344484::0.004275945767883):1.451587146689002):0.6989199841713962):1.5457942486855563,((((17,18):1.6771379652417624,(19)#H25:::0.8255290180921967):0.4475312505624305,((13,14):0.6037234741451426,(16,(15,#H25:::0.17447098190780327):2.0357122378728624e-6):0.5084024686356211):1.9501094602201512):1.1979219736928604,20):0.6243923421006616,(((8,(5,(7,6):0.8195072011941918):0.601862033661316):0.839035577113299,(#H23:5.4291767519982336e-5::0.34509393177485903,(9,(11,((12,10):4.960587227003531e-7)#H23:2.6387079934074967e-5::0.654906068225141):9.996975945293979):0.0):0.7432334309506471):6.587309551120761e-6)#H21:0.6169120102789001::0.995724054232117);",300,8,0.0,1.0,1,103506.244244811,12,4,0.2605883666666667,20,3,3,med,18
